title,equipment_category,muscle_group,body_part,movement_type
Hanging Leg Raise,none,abdominals,core,isolation
Squat (Barbell),barbell,quadriceps,legs,compound
Shoulder Press (Dumbbell),dumbbell,shoulders,upper body,compound
Cable Crunch,machine,abdominals,core,isolation
Knee Raise Parallel Bars,machine,abdominals,core,isolation
Leg Press (Machine),machine,quadriceps,legs,compound
Seated Leg Curl (Machine),machine,hamstrings,legs,isolation
Hip Adduction (Machine),machine,adductors,other,isolation
Rear Delt Reverse Fly (Machine),machine,shoulders,upper body,isolation
Butterfly (Pec Deck),machine,chest,upper body,isolation
Triceps Rope Pushdown,machine,triceps,arms,isolation
Chest Supported Incline Row (Dumbbell),dumbbell,upper_back,back,compound
Hammer Curl (Dumbbell),dumbbell,biceps,arms,isolation
Ab Wheel,other,abdominals,core,isolation
Overhead Press (Dumbbell),dumbbell,shoulders,upper body,compound
Cable Twist (Up to down),machine,abdominals,core,isolation
Pulldown LifeFitness,machine,lats,back,isolation
Hip Thrust (Machine),machine,glutes,lower body,isolation
Rear Deltoid ,none,other,other,isolation
Shrug (Barbell),barbell,traps,upper body,isolation
Triceps Extension (Cable),machine,triceps,arms,isolation
Sit Up,none,abdominals,core,isolation
Squat (Band),resistance_band,quadriceps,legs,compound
Chin Up,machine,lats,back,isolation
Zercher Squat,barbell,quadriceps,legs,compound
Cable Core Palloff Press,machine,abdominals,core,compound
Bent Over Row (Barbell),barbell,upper_back,back,compound
Bulgarian Split Squat,dumbbell,quadriceps,legs,compound
Lying Knee Raise,none,abdominals,core,isolation
Crunch (Machine),machine,abdominals,core,isolation
Pull Up (Assisted),machine,lats,back,isolation
Cable Fly Crossovers,machine,chest,upper body,isolation
Triceps Pushdown,machine,triceps,arms,isolation
Leg Extension (Machine),machine,quadriceps,legs,isolation
Calf Press (Machine),machine,calves,other,compound
Hip Abduction (Machine),machine,abductors,core,isolation
Hip Thrust (Barbell),barbell,glutes,lower body,isolation
